STATEID,IDPERSON,RO3,RO5,EDUC7,ED12,GROUPS,WS4,WS5,WS13,WS14,WSEARN
1,10201010101,1,57,0,NA,6,99,40,4,2,82800
1,10201010103,1,19,8,NA,6,84,40,4,2,19600
1,10201010105,1,29,8,NA,6,99,40,4,2,64800
1,10201020102,1,42,15,2,6,15,92,4,1,336000
1,10201020107,1,37,16,5,6,15,92,4,1,300000
1,10201020108,2,33,12,NA,6,15,92,4,1,39650
1,10201020112,1,31,16,5,6,15,92,4,1,300000
1,10201020113,2,26,8,NA,6,15,92,4,1,39650
1,10201030101,1,45,10,NA,6,35,93,4,1,192000
1,10201040101,1,57,0,NA,6,95,50,1,3,80600
1,10201050103,1,27,0,NA,6,95,50,1,3,56700
1,10201050106,1,23,8,NA,6,95,50,1,3,56700
1,10201060102,1,39,0,NA,6,63,0,1,3,51450
1,10201060106,1,37,0,NA,6,63,0,1,3,51450
1,10201060110,1,27,0,NA,6,63,0,1,3,42000
1,10201070101,1,52,0,NA,6,95,37,1,3,48000
1,10201070104,1,24,8,NA,6,95,37,1,3,48000
1,10201080101,1,42,0,NA,6,95,50,1,3,18900
1,10201090102,1,21,8,NA,6,35,90,4,1,66600
1,10201090104,1,20,3,NA,6,98,70,4,3,33600
1,10201090105,1,17,8,NA,6,97,90,4,1,61560
1,10201090201,1,27,0,NA,6,99,37,1,3,25420
1,10201100101,1,37,10,NA,6,24,37,4,1,15000
1,10201100102,2,30,10,NA,6,101,99,4,1,54000
1,10201100105,1,31,10,NA,6,35,93,4,1,36000
1,10201100106,1,29,10,NA,6,24,37,4,1,15000
1,10201100107,1,24,10,NA,6,24,37,4,1,12000
1,10201110101,1,31,8,NA,6,63,0,1,3,50400
1,10201120101,1,40,15,2,6,15,92,4,1,23000
1,10201120102,2,33,15,2,6,15,92,4,1,20000
1,10201130101,1,47,8,NA,6,59,37,3,1,32580
1,10201130103,1,26,8,NA,6,30,80,4,1,14400
1,10201140101,1,49,8,NA,6,35,90,4,1,16000
1,10201160102,2,56,0,NA,6,35,92,4,1,7680
1,10201160103,1,38,10,NA,6,95,50,2,3,71500
1,10201160109,1,36,15,2,6,15,92,4,1,180000
1,10201170101,1,42,10,NA,6,57,90,4,1,397010
1,10201170104,1,19,10,NA,6,57,90,4,1,162050
1,10201180101,1,42,16,5,6,15,92,4,1,20000
1,10201180104,1,39,15,2,6,57,90,4,1,22000
1,10201180109,1,31,16,5,6,15,92,4,1,18000
1,10201190101,1,36,8,NA,6,79,26,1,3,40500
1,10201200103,1,45,0,NA,6,35,92,4,1,192000
1,10201200105,1,21,0,NA,6,63,0,1,3,37800
1,10202010101,1,43,0,NA,6,63,0,1,2,12600
1,10202010103,1,22,15,2,6,63,0,1,2,6300
1,10202010105,1,16,8,NA,6,63,0,1,2,3600
1,10202020104,1,27,10,NA,6,30,50,3,2,21710
1,10202020105,1,25,10,NA,6,98,70,3,2,42860
1,10202020107,1,21,8,NA,6,98,70,3,2,39286
1,10202030101,1,35,3,NA,6,63,0,1,3,7800
1,10202040103,1,23,10,NA,6,95,50,1,6,72000
1,10202050102,1,18,8,NA,6,63,0,2,3,8400
1,10202060101,1,49,10,NA,6,15,92,4,3,42000
1,10202080103,1,32,15,2,6,85,40,2,2,51600
1,10202080107,1,25,16,5,6,15,92,4,3,31200
1,10202090101,1,62,5,NA,6,79,90,4,1,300000
1,10202090103,1,35,16,5,6,15,92,4,1,228000
1,10202120101,1,37,10,NA,6,81,27,1,3,84000
1,10202160101,1,52,5,NA,6,63,0,2,3,14400
1,10202160103,1,24,5,NA,6,63,0,2,3,28800
1,10202170101,1,42,0,NA,6,63,0,1,2,28800
1,10202180101,1,54,5,NA,6,54,92,4,3,60000
1,10202190101,1,48,8,NA,6,79,26,1,3,64000
1,10202190103,1,24,12,NA,6,64,1,4,1,7000
1,10202200103,1,23,12,NA,6,95,50,1,4,1200
1,10202200104,1,21,8,NA,6,95,50,1,4,1200
1,10203010103,1,45,8,NA,6,95,50,1,3,70200
1,10203010109,1,41,8,NA,6,95,50,1,4,2620
1,10203020105,1,26,8,NA,6,52,69,4,3,33400
1,10203020107,1,19,12,1,6,95,50,1,4,1572
1,10203040101,1,61,8,NA,6,65,92,4,1,240000
1,10203040102,1,28,15,2,6,15,92,4,1,172800
1,10203040103,2,30,8,NA,6,35,92,4,1,51300
1,10203050101,1,57,8,NA,6,57,90,4,1,360000
1,10203050105,1,19,8,NA,6,43,66,4,3,8820
1,10203060103,1,42,10,NA,6,30,90,4,1,180000
1,10203060108,1,38,0,NA,6,57,90,4,1,183650
1,10203060113,1,31,8,NA,6,95,50,1,3,27900
1,10203070101,1,56,8,NA,6,52,69,4,3,33650
